               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12053,            0.037625,            0.074456,                   0,                   0,                   0,                   0,            0.086277,            0.029315,            0.053918,              0.0006,              0.0006,              0.0946
                   1,             0.11018,             0.03777,            0.068427,              0.1964,             0.11765,            0.051198,             0.00669,            0.074616,            0.028304,            0.044023,           0.0012957,           0.0012957,            0.088296
                   2,            0.093726,            0.036265,            0.053198,             0.18986,             0.23529,             0.13245,            0.048121,            0.060308,             0.02517,            0.034199,           0.0019868,           0.0019868,            0.081987
                   3,            0.079991,             0.03608,            0.043558,             0.61493,             0.23881,             0.28446,            0.066868,            0.056007,            0.022875,            0.025917,           0.0026733,           0.0026733,            0.075673
                   4,            0.077284,            0.033087,            0.029655,             0.47356,             0.34237,             0.38421,             0.11488,            0.052123,            0.021477,            0.016892,           0.0033551,           0.0033551,            0.069355
                   5,            0.071347,             0.03077,            0.021733,             0.53744,             0.37748,             0.39856,              0.1021,            0.049271,            0.021494,            0.011835,           0.0040324,           0.0040324,            0.063032
                   6,            0.077335,            0.027423,             0.01541,             0.18956,             0.39073,             0.14421,            0.038333,            0.060295,            0.016575,            0.011471,            0.004705,            0.004705,            0.056705
                   7,            0.074687,            0.025521,             0.01106,             0.28635,             0.29801,             0.17313,            0.055421,            0.060512,            0.014619,           0.0093846,           0.0053729,           0.0053729,            0.050373
                   8,            0.084394,            0.024218,           0.0090715,             0.36917,             0.44371,             0.32411,            0.074779,             0.05371,              0.0127,           0.0081573,           0.0060363,           0.0060363,            0.044036
                   9,            0.085702,            0.024654,           0.0081706,             0.58272,             0.50993,             0.48806,             0.17404,            0.061099,            0.010646,           0.0056023,           0.0066951,           0.0066951,            0.037695
                  10,            0.078929,            0.024225,            0.006524,             0.48057,             0.58278,               0.501,             0.16314,            0.062166,            0.010453,           0.0037533,           0.0073492,           0.0073492,            0.031349
                  11,            0.081769,            0.022503,           0.0059298,             0.36643,             0.51656,             0.34311,             0.11041,            0.057895,            0.010281,            0.003183,           0.0079987,           0.0079987,            0.024999
                  12,            0.085107,            0.019916,           0.0049232,             0.26917,             0.54305,             0.24367,            0.062458,            0.060981,           0.0095561,             0.00313,           0.0086436,           0.0086436,            0.018644
                  13,            0.083336,             0.01996,           0.0055027,             0.68166,             0.54305,             0.53674,             0.16991,            0.056628,            0.010483,           0.0059046,           0.0092839,           0.0092839,            0.012284
                  14,            0.069879,            0.022957,           0.0047309,             0.16541,             0.53642,             0.13594,            0.024277,            0.062494,            0.009417,           0.0049824,            0.009538,            0.009538,            0.009538
                  15,            0.083206,            0.019618,           0.0040152,             0.45824,             0.54305,             0.42174,             0.13007,            0.059469,           0.0098849,           0.0047363,            0.009538,            0.009538,            0.009538
                  16,            0.077276,            0.019395,           0.0039866,             0.55106,             0.38411,             0.36425,             0.11704,            0.061298,            0.010355,           0.0046442,            0.009505,            0.009505,            0.009505
                  17,            0.078707,            0.020847,           0.0041742,             0.59366,             0.53216,             0.51187,             0.18661,            0.060098,           0.0092612,           0.0042403,            0.009472,            0.009472,            0.009472
